MONTH_CRIME / CRIME,Anti-social behaviour,Violent crime,Other crime,Vehicle crime,Burglary,Robbery,Other theft,Criminal damage and arson,Shoplifting,Drugs,Public disorder and weapons,Violence and sexual offences,Public order,Theft from the person,Possession of weapons,Bicycle theft,TOTAL
2011_01,200845,59176,166487,34742,44341,6599,0,0,0,0,0,0,0,0,0,0,512190
2011_02,205905,56089,168353,33448,41776,6397,0,0,0,0,0,0,0,0,0,0,511968
2011_03,240101,61651,188310,35026,43726,6495,0,0,0,0,0,0,0,0,0,0,575309
2011_04,276172,63681,184653,33369,40004,6217,0,0,0,0,0,0,0,0,0,0,604096
2011_05,242325,63025,193693,36384,43057,6658,0,0,0,0,0,0,0,0,0,0,585142
2011_06,248086,61838,186810,33516,39926,6166,0,0,0,0,0,0,0,0,0,0,576342
2011_07,276665,65921,190258,33597,40347,6265,0,0,0,0,0,0,0,0,0,0,613053
2011_08,267105,62639,187205,32822,41807,5914,0,0,0,0,0,0,0,0,0,0,597492
2011_09,217843,53868,14647,33376,39690,5277,61237,48343,24183,16340,12315,0,0,0,0,0,527119
2011_10,232346,56796,14675,34777,41368,5948,63246,53520,25369,17735,12770,0,0,0,0,0,558550
2011_11,189755,53618,14582,34658,43889,6441,61354,50906,26446,17623,12436,0,0,0,0,0,511708
2011_12,164474,52899,13912,31304,41725,5544,53883,46085,25262,16782,10955,0,0,0,0,0,462825
2012_01,169398,53085,14082,34256,43115,5894,55336,47571,23952,17607,11303,0,0,0,0,0,475599
2012_02,180019,47736,13881,30571,37123,5395,52735,43865,24009,16130,10590,0,0,0,0,0,462054
2012_03,213962,55383,15315,34999,41180,6029,63150,49671,26860,18307,12290,0,0,0,0,0,537146
2012_04,180859,50516,14485,31607,37459,5498,56535,44567,24550,15456,10930,0,0,0,0,0,472462
2012_05,211265,56440,14821,32819,37377,5496,60815,45994,24748,16954,12343,0,0,0,0,0,519072
2012_06,198310,53760,14497,30884,38009,5391,58955,43009,23894,16428,11536,0,0,0,0,0,494673
2012_07,218843,56671,15927,31009,37249,5347,61642,44731,24502,18330,13079,0,0,0,0,0,527330
2012_08,229356,55921,15844,30604,36789,5208,62604,45646,24694,18005,12810,0,0,0,0,0,537481
2012_09,193913,51985,14624,30818,35956,5154,57231,42613,23269,15742,11373,0,0,0,0,0,482678
2012_10,190895,53762,15446,34268,40640,5564,61168,45370,25331,15895,11345,0,0,0,0,0,499684
2012_11,161507,51534,14897,33528,42383,5827,57839,44576,26071,16077,10627,0,0,0,0,0,464866
2012_12,143340,52419,12453,30112,38681,5643,51654,41418,23379,15514,9832,0,0,0,0,0,424445
2013_01,173813,50917,11952,32142,39836,5451,49426,41580,23851,16279,9809,0,0,0,0,0,455056
2013_02,147046,44949,9391,30498,36616,4812,49966,40111,25669,15278,9545,0,0,0,0,0,413881
2013_03,161828,51256,9591,31749,37017,5092,52642,41380,26116,16529,10254,0,0,0,0,0,443454
2013_04,170082,50300,7459,31388,36562,4687,54892,43821,27058,15852,10581,0,0,0,0,0,452682
2013_05,181808,0,3336,30411,36243,4643,44047,43471,26945,16409,0,53950,10730,7541,1729,7741,469004
2013_06,193132,0,3303,30782,35523,4762,44633,42963,26148,16061,0,54617,10903,7894,1649,8865,481235
2013_07,237327,0,3659,30073,35695,5091,48419,43118,26041,16156,0,61564,12490,7803,1843,10119,539398
2013_08,216363,0,3251,30421,36653,5054,46189,43491,26654,15566,0,58330,11515,8452,1742,10239,513920
2013_09,171150,0,3413,30918,35778,4965,41679,39974,25670,14508,0,53930,10340,8043,1664,9567,451599
2013_10,173803,0,3793,33299,39194,5156,42405,42105,27112,16387,0,56801,10561,7912,1742,9096,469366
2013_11,153643,0,3439,31670,39586,4941,40716,42154,27045,16001,0,54899,10116,7939,1538,7457,441144
2013_12,136794,0,3282,29372,37351,4604,38665,40455,24403,15210,0,57794,9776,7861,1474,5327,412368
2014_01,133736,0,3639,30919,38247,4883,37937,39027,25865,15513,0,56160,9610,6512,1501,5309,408858
2014_02,129524,0,3717,28100,34978,4383,36380,37379,25679,13679,0,53520,9011,6508,1410,5182,389450
2014_03,162505,0,3920,29880,36321,4457,42056,42417,28722,16007,0,61585,10846,7081,1676,6706,454179
2014_04,169445,0,3629,28683,33896,4045,40040,41597,26739,14785,0,59470,10881,5893,1687,7034,447824
2014_05,176788,0,3894,29393,34341,4102,42138,41932,27849,14745,0,65638,11887,6062,1731,7545,468045
2014_06,188666,0,4022,27770,31695,4113,43536,41038,26672,14535,0,70292,12954,5895,1818,7883,480889
2014_07,210470,0,4290,27696,32934,3859,45275,41726,26520,14259,0,74549,14057,5661,1841,9199,512336
2014_08,178466,0,3860,28195,33906,4066,42269,41189,26833,13722,0,67657,12602,5978,1676,8795,469214
2014_09,176584,0,4123,29538,33118,4132,41972,41746,26275,12708,0,71000,13994,5853,1810,9503,472356
2014_10,166940,0,4365,31718,35966,4419,41385,43644,27550,13630,0,72903,13749,6069,1892,9267,473497
2014_11,144333,0,4314,30228,37215,4503,39680,43101,27497,13390,0,72745,12673,6879,1665,7085,445308
2014_12,125269,0,4000,28322,35578,4204,38541,39678,25983,12814,0,71365,11876,7273,1547,5286,411736
2015_01,126047,0,4476,29857,35286,4229,36632,39854,25556,12819,0,70344,11692,6286,1650,5171,409899
2015_02,126023,0,4350,27401,32206,3873,35276,38203,26423,11776,0,67145,11898,5830,1615,5052,397071
2015_03,145404,0,5045,30562,34605,4348,41140,44987,29441,12230,0,79379,14471,6300,1876,6141,455929
2015_04,160100,0,4740,29023,32388,4049,40215,44428,28487,11479,0,76897,15082,6220,1848,6845,461801
2015_05,160977,0,4731,30642,32396,4251,42030,45177,28835,12048,0,84596,15632,6677,1946,7176,477114
2015_06,169275,0,5016,30240,31714,3974,43027,44491,27589,12364,0,87913,17074,5942,2090,7942,488651
2015_07,179230,0,5172,29596,32024,4223,44458,45069,27820,12335,0,93619,18045,6212,2165,8189,508157
2015_08,175021,0,4623,29716,31865,4216,41712,44577,27080,12304,0,87195,16449,6166,2167,7801,490892
2015_09,149177,0,5009,30044,31644,4100,39635,42505,26410,11416,0,85681,16211,5983,1983,8061,457859
2015_10,160998,0,5321,32329,34408,4485,40681,46861,28580,12361,0,90550,16751,6908,2322,8420,490975
2015_11,131040,0,5219,32454,37284,4383,39482,44730,27509,11676,0,89205,16152,7253,2187,6870,455444
2015_12,123724,0,5033,30859,35040,4355,37584,44940,26066,11282,0,91708,16111,7443,2029,4983,441157
2016_01,123014,0,5501,30822,34890,4492,34863,42648,26413,11725,0,90561,15743,6350,2120,5037,434179
2016_02,122603,0,5511,29558,32851,4081,35648,43002,28584,10797,0,86871,15864,6421,2142,4768,428701
2016_03,139469,0,5771,30830,33678,4248,37774,46139,29534,11329,0,94965,18135,6681,2288,5486,466327
2016_04,142597,0,5849,29890,31081,3970,38302,44313,30348,11400,0,93146,18690,6040,2329,5867,463822
2016_05,163915,0,6139,30985,31469,4327,41331,47482,29426,11666,0,103138,21329,6483,2542,7142,507374
2016_06,162247,0,5951,30094,31050,4306,41079,44440,29578,10532,0,101004,22247,6592,2589,7315,499024
2016_07,182114,0,5851,31576,31709,4684,42800,46994,29335,11379,0,105535,24326,6981,2815,8254,534353
2016_08,176718,0,5463,33293,33378,4774,43741,47053,30404,10825,0,100202,22960,6747,2651,8845,527054
2016_09,161772,0,6079,34350,33280,4815,42031,45363,30138,10130,0,103962,23760,6522,2693,9130,514025
2016_10,163806,0,6305,36553,34532,5310,42058,50358,30554,10976,0,107107,24777,7133,2917,9832,532218
2016_11,126716,0,6606,37088,36772,5005,41290,46618,31061,10447,0,101964,22010,7824,2602,7733,483736
2016_12,123169,0,6295,34550,36948,5310,40370,46818,29574,10620,0,106590,22119,8307,2536,5869,479075
2017_01,119855,0,7001,35796,37789,5257,39131,45476,30343,10412,0,105165,21819,6837,2631,5826,473338
2017_02,118327,0,6902,34123,34479,4940,38518,43858,30824,9650,0,101137,22728,6895,2732,5702,460815
2017_03,142699,0,7975,39179,37236,5934,44250,49741,34198,11329,0,119941,28242,8169,3231,7085,539209
2017_04,150214,0,6636,36116,34054,5788,42443,50514,31548,10063,0,113145,27380,7259,3030,7743,525933
2017_05,152397,0,7530,38112,34626,5971,45561,51170,33682,10679,0,126880,31038,7681,3489,8885,557701
2017_06,151079,0,7636,36789,34195,5893,45333,48442,31355,10148,0,130632,33960,7674,3531,9370,556037
2017_07,159443,0,7854,37774,35362,6539,46945,50468,31887,11290,0,136345,35991,8472,3573,10233,582176
2017_08,155139,0,7603,38114,35845,6330,46945,50607,33019,11349,0,124759,33472,8292,3430,9746,564650
2017_09,131335,0,7527,40220,35565,6156,43349,46753,31144,10526,0,121756,31254,7374,3262,9275,525496
2017_10,146162,0,8057,41616,38221,6950,44828,54224,32296,11687,0,132646,33769,8439,3525,9365,571785
2017_11,116616,0,8029,40094,39451,7128,43759,50799,33335,11470,0,127040,30626,9205,3337,7898,528787
2017_12,106227,0,7077,35396,35810,6441,41056,46507,27423,10559,0,125414,27552,8780,2956,4919,486117
TOTAL,14377453,1547835,2033382,2721300,3066997,429926,3469549,3402591,2097214,1034026,226723,4912906,1025930,393487,126464,421181,41286964
